2020-04-09 09:53:15.457[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.annotation.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-09 09:53:15.465[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.annotation.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-09 09:53:15.466[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.annotation.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-09 09:53:15.632[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.annotation.AnnotationApplication for test class com.example.annotation.mapper.MessageMapperTest
2020-04-09 09:53:15.821[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 09:53:15.863[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@8dbfffb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f316aeb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6aa3a905, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a22cb6a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5dd1c9f2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@59b38691, org.springframework.test.context.event.EventPublishingTestExecutionListener@2e2ff723, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@324a0017, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6187d1f5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2445445a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7502291e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@17aad511]
2020-04-09 09:53:16.382[main][main] INFO  c.e.a.mapper.MessageMapperTest - Starting MessageMapperTest on LAPTOP-K0SG6Q7R with PID 28756 (started by 18262 in D:\MySelf\Study\MainMajor\SpringBoot\SpringBoot\annotation)
2020-04-09 09:53:16.383[main][main] INFO  c.e.a.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 09:53:16.997[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-09 09:53:17.836[main][main] INFO  c.e.a.mapper.MessageMapperTest - Started MessageMapperTest in 1.908 seconds (JVM running for 3.656)
2020-04-09 09:53:18.321[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
